num,polygon
1,"[[6.0, 0.0], [12.0, 4.0], [6.0, 8.0]]"
1,"[[10.0, 0.0], [10.0, 10.0], [0.0, 10.0], [0.0, 5.0], [5.0, 5.0]]"
1,"[[6.0, 0.0], [4.0, 2.0], [4.0, 4.0], [6.0, 6.0], [0.0, 6.0], [2.0, 4.0], [2.0, 2.0]]"
1,"[[8.0, 0.0], [6.0, 2.0], [6.0, 6.0], [8.0, 8.0], [0.0, 8.0], [2.0, 6.0], [2.0, 2.0]]"
1,"[[10.0, 0.0], [8.0, 2.0], [8.0, 8.0], [10.0, 10.0], [0.0, 10.0], [2.0, 8.0], [2.0, 2.0]]"
1,"[[6.0, 0.0], [6.0, 6.0], [4.0, 6.0], [4.0, 2.0], [2.0, 2.0], [2.0, 6.0], [0.0, 6.0]]"
1,"[[8.0, 0.0], [8.0, 8.0], [6.0, 8.0], [6.0, 2.0], [2.0, 2.0], [2.0, 8.0], [0.0, 8.0]]"
1,"[[10.0, 0.0], [10.0, 10.0], [8.0, 10.0], [8.0, 2.0], [2.0, 2.0], [2.0, 10.0], [0.0, 10.0]]"
1,"[[12.0, 0.0], [6.0, 12.0]]"
1,"[[8.0, 0.0], [4.0, 8.0]]"
1,"[[10.0, 0.0], [10.0, 10.0]]"
1,"[[12.0, 8.0], [6.0, 16.0], [0.0, 8.0]]"
1,"[[12.0, 12.0], [0.0, 12.0]]"
1,"[[8.0, 0.0], [4.0, 8.0]]"
1,"[[10.0, 10.0], [0.0, 10.0]]"
1,"[[8.0, 5.0], [4.0, 10.0], [0.0, 5.0]]"
1,"[[4.0, 0.0], [6.0, 2.0], [6.0, 4.0], [3.0, 6.0], [0.0, 4.0], [0.0, 2.0]]"
1,"[[6.0, 0.0], [8.0, 2.0], [8.0, 6.0], [4.0, 8.0], [0.0, 6.0], [0.0, 2.0]]"
1,"[[6.0, 0.0], [6.0, 3.0], [3.0, 3.0], [3.0, 6.0], [0.0, 6.0]]"
1,"[[8.0, 0.0], [8.0, 8.0], [0.0, 8.0], [0.0, 4.0], [4.0, 4.0]]"
1,"[[6.0, 0.0], [6.0, 3.0], [3.0, 3.0], [3.0, 6.0], [0.0, 6.0]]"
1,"[[8.0, 0.0], [8.0, 8.0], [0.0, 8.0], [0.0, 4.0], [4.0, 4.0]]"
1,"[[12.0, 0.0], [12.0, 12.0], [0.0, 12.0]]"
1,"[[8.0, 0.0], [8.0, 8.0], [0.0, 8.0]]"
1,"[[10.0, 0.0], [10.0, 10.0], [0.0, 10.0]]"
